x,y,is_stop,stop_name
126.925904,37.513685,1,대방역
126.9258708,37.5136485,0,
126.9259174,37.5135498,0,
126.9260203,37.5134786,0,
126.9262237,37.5134895,0,
126.9263812,37.513554,0,
126.9269132,37.5143157,0,
126.9270464,37.5144971,0,
126.9275462,37.5151414,0,
126.9285992,37.5166557,0,
126.9287082,37.516945,0,
126.9287282,37.5171254,0,
126.9286916,37.5173143,0,
126.9285529,37.5175203,0,
126.9272501,37.5188919,1,샛강역1번출구.여의도자이
126.9256867,37.5204769,0,
126.9248293,37.5213716,1,여의도역5번출구
126.924797,37.5214048,0,
126.9246524,37.5215534,0,
126.9246737,37.5216789,0,
126.924954,37.5218521,0,
126.9263873,37.5227524,0,
126.9267876,37.5229698,0,
126.9271918,37.5232203,1,한국거래소
126.9273491,37.5233181,0,
126.9276217,37.523561,0,
126.9278129,37.5237452,0,
126.9283007,37.5241917,0,
126.9284226,37.5242668,0,
126.9291296,37.5246157,0,
126.930006,37.52512,1,삼부아파트
126.9324951,37.5266655,0,
126.9326197,37.5266576,0,
126.9339797,37.5256967,0,
126.9350544,37.5249045,0,
126.9356311,37.5244248,1,여의도중학교
126.9358459,37.5242737,0,
126.9371924,37.5232377,0,
126.9374599,37.5230547,0,
126.9379433,37.5226526,0,
126.9400518,37.5210397,0,
126.9400463,37.5209904,0,
126.9400201,37.5209575,0,
126.9399193,37.5208845,0,
126.9376015,37.5194479,1,63빌딩.가톨릭대학교여의도성모병원
126.9374406,37.5193461,0,
126.9357467,37.5182915,0,
126.9353528,37.5180542,0,
126.9351714,37.5179607,0,
126.9350684,37.517965,0,
126.9349862,37.5179961,0,
126.934581,37.518404,1,여의동주민센터
126.9333068,37.5197077,0,
126.9330903,37.5198229,0,
126.9328633,37.5198749,0,
126.9325922,37.5198455,0,
126.9323897,37.5197625,0,
126.9317564,37.5193615,1,KBS별관
126.9297705,37.5181223,0,
126.9288579,37.5175501,0,
126.9282466,37.5167877,0,
126.9273928,37.5155815,0,
126.9270826,37.5151282,0,
126.9264934,37.514402,0,
126.925904,37.513685,1,대방역
