x,y,is_stop,stop_name
126.8916193,37.5071232,1,신도림역
126.8916562,37.5070749,0,
126.8916771,37.5070539,0,
126.8916954,37.5070411,0,
126.8917213,37.507028,0,
126.8917546,37.5070189,0,
126.8917927,37.5070155,0,
126.8918275,37.507015,0,
126.8918704,37.5070169,0,
126.8919105,37.5070213,0,
126.8919567,37.5070325,0,
126.8920054,37.5070447,0,
126.8920528,37.5070439,0,
126.8920888,37.5070389,0,
126.8921171,37.5070317,0,
126.8921424,37.5070192,0,
126.8921598,37.5070049,0,
126.8922285,37.5069089,0,
126.8922309,37.5068962,0,
126.89223,37.5068853,0,
126.8922278,37.5068773,0,
126.8922211,37.5068698,0,
126.8922125,37.5068627,0,
126.8917122,37.5065965,0,
126.891392,37.5064136,0,
126.8911191,37.5062694,0,
126.8908736,37.5061312,0,
126.8905284,37.5059237,0,
126.8903154,37.5058054,0,
126.8901376,37.5057013,0,
126.889388,37.5053139,1,서울미래초등학교
126.888077,37.5046221,0,
126.88782,37.5044423,0,
126.8877577,37.504383,0,
126.8877283,37.5043125,0,
126.8877322,37.504208,0,
126.8877942,37.5040589,0,
126.887888,37.5039083,0,
126.8880807,37.5034557,0,
126.8883322,37.5030015,0,
126.8884823,37.5027458,1,거리공원.구로신협본점앞
126.8889471,37.5021836,0,
126.8894448,37.5015821,0,
126.8902528,37.5005848,0,
126.8904899,37.5002958,1,구로보건소.금호새솔아파트
126.8926572,37.4976629,0,
126.8933371,37.4969687,0,
126.8939412,37.4949028,0,
126.8941289,37.4943766,0,
126.8941741,37.4943199,0,
126.894241,37.4942692,0,
126.8943106,37.4942446,0,
126.8944062,37.4942439,0,
126.8947752,37.4943376,0,
126.8948473,37.4943724,0,
126.8948866,37.4944275,0,
126.8949073,37.4944911,0,
126.8949021,37.4945581,0,
126.8948102,37.4948121,1,대림역5번출구
126.8947266,37.4950329,0,
126.8945493,37.4956227,0,
126.8943945,37.4961003,0,
126.8942229,37.4967967,0,
126.8940973,37.4973754,0,
126.8941013,37.4974593,0,
126.8940386,37.4978061,0,
126.8943017,37.4979331,0,
126.894619,37.498133,1,신동아아파트
126.8954772,37.4985865,0,
126.896404,37.499051,1,신영초교
126.8974255,37.4995737,0,
126.8976149,37.4997647,0,
126.8977364,37.499964,0,
126.8977332,37.5001803,0,
126.8976506,37.5004902,1,대림3동사거리.명지춘혜병원
126.897076,37.5018491,0,
126.896759,37.5025553,1,성원아파트.한국상하수도협회
126.896295,37.5036393,0,
126.8963471,37.5039403,0,
126.8965034,37.5041556,0,
126.8966462,37.5043053,1,현대3차성원아파트
126.896849,37.5044883,0,
126.8969395,37.504584,0,
126.8972902,37.5047864,0,
126.8981715,37.5051965,0,
126.9009754,37.5064024,1,건영아파트
126.9019899,37.506808,0,
126.9029681,37.5072586,1,우성5차아파트
126.9031957,37.5073585,0,
126.9032593,37.507411,0,
126.9038678,37.5076681,0,
126.9052487,37.508255,0,
126.905451,37.5083426,0,
126.9054881,37.5084118,0,
126.9055102,37.5085115,0,
126.9055031,37.5086425,0,
126.9054683,37.5087465,0,
126.9052806,37.5090105,0,
126.9052022,37.5091358,1,도림초교사거리
126.9051017,37.5093002,0,
126.90484,37.5096929,0,
126.9046887,37.5099419,0,
126.9047048,37.5100309,0,
126.904736,37.510103,1,영등포동.영등포푸르지오아파트
126.90478,37.5101933,0,
126.905587,37.51099,0,
126.906092,37.5116342,0,
126.9062634,37.5119284,0,
126.9063649,37.5120313,1,고추말
126.9065013,37.5121465,0,
126.9066793,37.5122748,0,
126.9068832,37.5123835,0,
126.9070461,37.5124511,0,
126.9072165,37.5124872,0,
126.907398,37.5124997,0,
126.9077236,37.5125152,0,
126.9078893,37.5125652,0,
126.9079849,37.5126232,0,
126.9080555,37.5126811,0,
126.9081817,37.5128242,0,
126.9082701,37.5128834,0,
126.9083697,37.5129256,0,
126.9084662,37.5129529,0,
126.9087324,37.512969,0,
126.9088215,37.5129827,0,
126.9088941,37.513013,0,
126.9089507,37.5130544,0,
126.9089907,37.5130975,0,
126.9090104,37.513172,0,
126.9089886,37.5132416,0,
126.9084514,37.5140429,0,
126.9079588,37.5147659,0,
126.9078677,37.5147911,0,
126.9077683,37.5147801,0,
126.9076937,37.5147273,0,
126.9076731,37.514663,0,
126.9078174,37.5144706,1,영등포역2번출구
126.9078745,37.5143697,0,
126.9085091,37.5134623,0,
126.9087508,37.5131416,0,
126.9088849,37.512958,0,
126.9091492,37.5125471,1,선의원
126.9095799,37.5119448,0,
126.9098178,37.5116452,0,
126.9099372,37.5112151,1,우신초교앞사거리
126.910109,37.5107356,0,
126.9100156,37.5106506,0,
126.9098611,37.5105729,0,
126.9095097,37.5103993,0,
126.9089861,37.5101889,0,
126.9075416,37.5095553,1,도림생활문화센터
126.9067066,37.5091803,0,
126.9048599,37.5083573,1,도림초교사거리
126.9043852,37.5081401,0,
126.9037292,37.5078664,0,
126.9031319,37.5076038,1,우성5차아파트
126.901158,37.506736,0,
126.899716,37.506128,1,신길우성1차.건영아파트
126.8983035,37.5055145,0,
126.8973652,37.5050452,0,
126.8966457,37.5047131,0,
126.8963404,37.5044358,1,대림동현대3차아파트
126.896069,37.5041104,0,
126.8959811,37.50403,0,
126.8954539,37.5037515,1,YDP미래평생학습관
126.8946291,37.503323,0,
126.8941047,37.5030476,0,
126.893866,37.5029572,1,현대2차아파트후문
126.8938616,37.5029561,0,
126.8937946,37.5030123,0,
126.8937737,37.5030388,0,
126.8937684,37.5030759,0,
126.8937799,37.5032291,0,
126.8938496,37.5034511,0,
126.8940382,37.504562,0,
126.8942285,37.5056787,0,
126.8943166,37.506126,0,
126.8943564,37.5063462,0,
126.8943645,37.5065461,0,
126.8943335,37.5067892,0,
126.8943031,37.5069203,1,대림코오롱아파트
126.8941787,37.5074083,0,
126.8941278,37.5075074,0,
126.8940712,37.5075572,0,
126.8940219,37.5075888,0,
126.8939668,37.5076036,0,
126.893881,37.5076009,0,
126.8937601,37.5075474,0,
126.8931118,37.5072493,0,
126.8925232,37.5069894,0,
126.892401,37.5069408,0,
126.8923787,37.5069538,0,
126.8919774,37.5075211,1,신도림역2번출구
