x,y,is_stop,stop_name
126.923824,37.512819,1,대방역
126.9248571,37.512558,0,
126.9249148,37.5124774,0,
126.9249821,37.5123717,0,
126.925005,37.5122834,0,
126.9249711,37.5121712,0,
126.9248588,37.5119229,0,
126.9243059,37.5104725,0,
126.9242309,37.5103956,0,
126.9240347,37.509924,1,공군호텔
126.9239658,37.5097577,0,
126.9239486,37.5095922,0,
126.9238758,37.509416,0,
126.9238518,37.5093717,0,
126.9237144,37.5093107,0,
126.9233165,37.5093721,0,
126.9220772,37.5089181,0,
126.9218111,37.508845,0,
126.9216164,37.5088418,0,
126.921572,37.5088459,1,창의나라어린이집
126.92137,37.508841,0,
126.9210631,37.5089463,0,
126.9203911,37.5092736,0,
126.9203199,37.5092899,0,
126.920277,37.5092915,0,
126.9202434,37.5092879,0,
126.9201988,37.5092718,0,
126.9201664,37.5092451,0,
126.9201367,37.5092043,0,
126.9200097,37.5089838,0,
126.9199381,37.5088514,0,
126.91989,37.508719,1,골프장
126.9198568,37.5084298,0,
126.9197704,37.5079222,0,
126.9196905,37.5074484,0,
126.9197264,37.5073641,0,
126.9198195,37.5072709,0,
126.9199969,37.5071727,0,
126.920048,37.507153,1,삼환아파트
126.920158,37.5071572,0,
126.920595,37.5071105,0,
126.921106,37.5067481,0,
126.9212407,37.5066709,0,
126.9214378,37.5065675,0,
126.9216139,37.5064288,0,
126.921619,37.5064003,1,병무청
126.9216199,37.506333,0,
126.9216276,37.5062903,0,
126.921647,37.5062567,0,
126.9216851,37.5062276,0,
126.9217411,37.506214,0,
126.9220145,37.5061478,0,
126.9220896,37.5061223,0,
126.9219598,37.5058362,0,
126.9218525,37.5056063,0,
126.9217033,37.5052233,1,대방동성당
126.9213914,37.5044374,0,
126.9212574,37.5042388,0,
126.9201917,37.5042619,0,
126.9198273,37.504262,1,신길한성아파트
126.9184126,37.504269,0,
126.9178651,37.5042632,0,
126.9176218,37.504264,0,
126.917373,37.5042836,0,
126.916489,37.5044483,0,
126.9160352,37.5045495,1,서울해군호텔
126.914569,37.5048801,0,
126.914272,37.5049464,0,
126.9135436,37.5051719,0,
126.9127007,37.5054542,1,신길중앙새마을금고신길4동지점
126.9119902,37.5056806,0,
126.9112971,37.505881,0,
126.9111927,37.5058848,0,
126.9111143,37.5058763,0,
126.911041,37.5058555,0,
126.9109694,37.5058169,0,
126.910903,37.5057718,0,
126.9108556,37.5057198,0,
126.9107797,37.5056104,0,
126.9105397,37.5051048,0,
126.9103636,37.5048154,0,
126.9100831,37.5042715,0,
126.9099958,37.5040478,0,
126.9099935,37.5036398,0,
126.9100294,37.5034304,1,포레나신길아파트
126.9101249,37.502835,0,
126.9101345,37.502644,0,
126.9101388,37.5023194,0,
126.9100806,37.5020003,0,
126.9098859,37.5016143,0,
126.9098345,37.5015243,1,신풍역4번출구.베뉴비안
126.9095257,37.5010765,0,
126.9091685,37.5006916,0,
126.9088081,37.5002744,0,
126.9079823,37.5002755,0,
126.9066858,37.5002922,0,
126.9061471,37.5003126,0,
126.9060284,37.5003331,0,
126.9059452,37.5003554,0,
126.9058075,37.5004297,0,
126.9054437,37.5009608,1,신길5동주민센터
126.9053913,37.5010418,0,
126.9051368,37.5014256,0,
126.9049424,37.5017054,0,
126.9047523,37.5020257,0,
126.9042514,37.5027684,0,
126.9041337,37.5029406,0,
126.9040085,37.5031419,0,
126.903843,37.5034331,1,대영중학교.신길센트럴아이파크
126.9034321,37.5040317,0,
126.9034464,37.504109,0,
126.9034853,37.504215,0,
126.904904,37.504797,1,대영고등학교.신길센트럴아이파크
126.905317,37.5049875,0,
126.9059117,37.5052518,0,
126.9065339,37.5055095,0,
126.9067407,37.5055827,0,
126.9068991,37.5056347,0,
126.9069449,37.5056448,1,래미안영등포프레비뉴아파트
126.9073109,37.5057241,0,
126.907706,37.5057692,0,
126.9082589,37.5057771,0,
126.9090858,37.5057668,1,신풍시장
126.910675,37.5057447,0,
126.9111171,37.5056991,0,
126.911316,37.505631,1,신길힐스테이트클래시안아파트
126.9119689,37.505459,0,
126.9124034,37.5053056,0,
126.9133742,37.5049963,0,
126.913471,37.5049665,1,신길파크자이아파트
126.9142144,37.5047299,0,
126.914562,37.5046187,0,
126.9149698,37.5045193,0,
126.9155577,37.5043888,0,
126.915972,37.5043099,1,서울해군호텔
126.9161391,37.5042655,0,
126.9164104,37.5041814,0,
126.9165966,37.5041367,0,
126.9173091,37.5040221,0,
126.9175895,37.5040142,0,
126.9184302,37.5040208,0,
126.9192708,37.504005,1,신길보라매SK뷰아파트
126.9193883,37.5040057,0,
126.919527,37.5040332,0,
126.9202711,37.5040345,0,
126.9211551,37.5040274,0,
126.9212397,37.5040423,0,
126.9212924,37.5040692,0,
126.9213499,37.5041341,0,
126.9213961,37.5042102,0,
126.9214337,37.5043023,0,
126.9214813,37.504441,0,
126.9216652,37.504913,0,
126.921791,37.5052062,0,
126.9217879,37.5052016,1,대방동성당
126.9221447,37.5060908,0,
126.9221572,37.5061464,0,
126.9221509,37.5061804,0,
126.9221112,37.5062319,0,
126.9220631,37.5062613,0,
126.92195,37.506287,1,병무청
126.9217866,37.506336,0,
126.9217312,37.5064685,0,
126.9216758,37.5065397,0,
126.9216152,37.5065981,0,
126.9213754,37.506758,0,
126.9208393,37.5071076,0,
126.920564,37.5072446,0,
126.920114,37.507289,1,삼환아파트
126.9200906,37.5072976,0,
126.9198676,37.507498,0,
126.9199646,37.5080689,0,
126.920081,37.5088112,0,
126.9202491,37.5090716,1,골프장
126.9202715,37.509112,0,
126.9203321,37.5091492,0,
126.9208116,37.5089103,0,
126.9211107,37.5087846,0,
126.9213519,37.5087443,0,
126.921473,37.508734,1,오거리
126.9216164,37.5087111,0,
126.9217712,37.5087182,0,
126.9220496,37.5087751,0,
126.9220815,37.508788,0,
126.9221055,37.5088027,0,
126.9221269,37.5088302,0,
126.9221372,37.5088558,0,
126.9221406,37.5088914,0,
126.9221534,37.5089735,0,
126.9221586,37.5098483,0,
126.9224125,37.510053,1,신일어린이공원
126.922513,37.510141,0,
126.9226891,37.510587,0,
126.9228039,37.5109063,0,
126.9230272,37.5114109,0,
126.9231952,37.5118472,0,
126.9234144,37.5123526,0,
126.92361,37.5128684,0,
126.923824,37.512819,1,대방역
