x,y,is_stop,stop_name
126.8916193,37.5071232,1,신도림역
126.8916633,37.5070663,0,
126.8916822,37.5070502,0,
126.8916991,37.5070388,0,
126.8917153,37.5070312,0,
126.8917375,37.5070237,0,
126.8917676,37.5070174,0,
126.8917947,37.5070151,0,
126.8918288,37.5070148,0,
126.8920055,37.507045,0,
126.8920501,37.5070443,0,
126.8920891,37.5070383,0,
126.8921201,37.5070302,0,
126.8921343,37.5070235,0,
126.8921459,37.5070168,0,
126.8921597,37.5070036,0,
126.8922457,37.5068858,0,
126.8923288,37.5068064,0,
126.8923724,37.5067801,0,
126.8924384,37.5067611,0,
126.8925109,37.5067563,0,
126.8925909,37.5067708,0,
126.8928648,37.5068379,0,
126.8929835,37.5068449,0,
126.8930209,37.5068407,0,
126.8930958,37.5057534,0,
126.8930997,37.5056366,0,
126.8930931,37.5054821,0,
126.8930676,37.5051881,0,
126.8929507,37.5044276,0,
126.8929197,37.5043213,0,
126.8928171,37.5037549,0,
126.8927061,37.5031449,0,
126.8927099,37.5030452,0,
126.8927251,37.5029544,0,
126.8927488,37.502875,0,
126.892782,37.502806,0,
126.8929097,37.5026582,0,
126.8929641,37.5026178,0,
126.8930108,37.5025916,0,
126.8930764,37.5025594,0,
126.8932349,37.5025416,0,
126.8934151,37.5025464,0,
126.8935646,37.5025741,0,
126.8937325,37.5026197,0,
126.893972,37.5027127,0,
126.895165,37.503337,1,현대2차아파트
126.8956925,37.5036249,0,
126.8961928,37.5038937,0,
126.8963594,37.5040178,0,
126.8965059,37.5041791,0,
126.8966462,37.5043053,1,현대3차성원아파트
126.8968492,37.5044878,0,
126.8969417,37.5045863,0,
126.8972881,37.5047876,0,
126.8982473,37.5052219,0,
126.8987641,37.505461,0,
126.8998479,37.5059238,1,신길1차우성아파트
126.9005054,37.5062084,0,
126.9011529,37.5064778,0,
126.9012925,37.5065838,0,
126.9013811,37.5067107,0,
126.9014231,37.506791,0,
126.9014343,37.5068912,0,
126.9014026,37.5069829,0,
126.9013013,37.5071704,1,도림사거리
126.900744,37.5079284,0,
126.9003546,37.5084892,1,도림새마을금고
126.8999998,37.5089293,0,
126.8995171,37.509481,0,
126.8983897,37.511205,0,
126.8982253,37.5115258,0,
126.8979389,37.512232,0,
126.8976734,37.5127222,0,
126.8974878,37.5130359,0,
126.897304,37.5132324,0,
126.8970003,37.5134049,0,
126.8967567,37.5135246,0,
126.895959,37.5138717,0,
126.8952533,37.514258,1,문래우체국.문래예술공단
126.894277,37.5147249,0,
126.8942504,37.5147749,0,
126.8941837,37.5148937,0,
126.8941807,37.514927,0,
126.8943787,37.5157311,0,
126.8945634,37.5161807,0,
