x,y,is_stop,stop_name
126.8897277,37.5439069,1,한국환경수도연구원
126.890816,37.5433222,0,
126.8921194,37.5426029,0,
126.8921315,37.542549,0,
126.8917759,37.5420847,0,
126.8915539,37.5417933,0,
126.891354,37.541559,1,한양맨션
126.8912208,37.5413871,0,
126.8911907,37.5413291,0,
126.8911908,37.5412999,0,
126.8911993,37.541274,0,
126.891242,37.5412228,0,
126.891303,37.5411806,0,
126.8922687,37.5407054,0,
126.8925346,37.5405728,1,한신아파트.선유도공원
126.8925873,37.5405459,0,
126.8936626,37.5400134,0,
126.8949338,37.5393761,0,
126.8947954,37.5391932,0,
126.8944857,37.5387878,1,선유도역2번출구.당산초등학교
126.8940283,37.5382077,0,
126.8931413,37.5370308,1,선유도역.롯데홈쇼핑
126.8929001,37.5367455,0,
126.8925814,37.5363237,0,
126.8923168,37.5359803,0,
126.8919882,37.5355232,0,
126.8918872,37.5353474,0,
126.8918559,37.5351669,0,
126.8919169,37.5347842,0,
126.8919343,37.5345251,0,
126.8919647,37.5344917,0,
126.8920612,37.5344496,0,
126.8921864,37.5343937,0,
126.8924046,37.5342862,1,케이카
126.8927656,37.5340941,0,
126.8918829,37.5325721,0,
126.8918783,37.5325477,0,
126.8918838,37.5325091,0,
126.8919035,37.5324866,0,
126.8919409,37.5324585,0,
126.8925332,37.5321654,0,
126.892637,37.532102,1,거성파스텔아파트
126.8927029,37.5320823,0,
126.8927849,37.5320423,0,
126.8928529,37.5320136,0,
126.8929206,37.5320232,0,
126.8929656,37.5320416,0,
126.8940639,37.5334575,0,
126.8946252,37.53318,1,선유고등학교
126.896393,37.5323131,0,
126.8964516,37.5323035,0,
126.8965222,37.5323019,0,
126.8965738,37.5323053,0,
126.8966274,37.5323192,0,
126.8966807,37.5323392,0,
126.8967351,37.5323696,0,
126.897006,37.532701,1,현대2.3차아파트
126.8979286,37.5338922,0,
126.8989951,37.5352228,0,
126.8994739,37.5349821,1,당산119안전센터.당산역
126.9012342,37.5341022,0,
126.901403,37.5335145,0,
126.9010388,37.5330722,1,당산역
126.897608,37.528742,1,당산유원제일1차아파트
126.8971527,37.5281432,0,
126.8970507,37.5279728,0,
126.8969825,37.5278239,0,
126.8969203,37.5276652,0,
126.8968437,37.5273366,0,
126.896811,37.5271178,0,
126.8966573,37.5264356,0,
126.896412,37.525433,1,영등포구청
126.8961479,37.5244939,0,
126.8959136,37.5234554,1,현대홈타운아파트
126.8958569,37.5232284,0,
126.8957117,37.5226715,0,
126.895196,37.52043,1,문래역.홈플러스
126.8951767,37.5203926,0,
126.8951561,37.5203132,0,
126.8935422,37.5205678,0,
126.892623,37.520739,1,교보생명
126.8921915,37.520743,0,
126.8918047,37.5208045,0,
126.8916487,37.5208564,0,
126.890095,37.521094,1,GS홈쇼핑앞
126.8886933,37.5213108,0,
126.8877831,37.5214438,1,양평동서통한신아파트
126.8854126,37.521816,0,
126.8855272,37.5223392,0,
126.8855378,37.5223724,0,
126.885573,37.5223794,0,
126.8855842,37.5224114,1,신동아아파트.관악고교
126.8856685,37.5227454,0,
126.8857342,37.523163,0,
126.8859333,37.5240025,0,
126.8860094,37.5243511,0,
126.886276,37.525365,1,양평역
